物件番号,物件種目,所在地,価格,土地面積(㎡),㎡単価,坪単価,取引態様,取引状況,建ぺい率(%),容積率(%),用途地域,第一種低層住居,最寄駅,交通,接道状況,接道,販売会社,電話番号,土地形状,法的制限,販売条件,契約条件,最適用途,私道負担,最終更新日,周辺施設,最寄駅情報,バス停情報
100132425812,売地,東京都中野区若宮３丁目,"7,160",129.14,55.5,183.3,専任,公開中,60%,150%,一低,☓,西武新宿線　都立家政,徒歩　6分,一方,北西4m,三井不動産リアルティ（株）三井のリハウス荻窪センター 三井不動産リアルティ（株）三井のリハウス荻窪センター,03-3392-3131,,,,,,なし,,,,"0m, "
100132861230,売地,東京都中野区南台５丁目,"5,880",143.44,41,135.6,売主,-,60%,200%,準工,☓,丸ノ内方南　方南町,徒歩　4分,一方,西4m,（株）ジョイテック （株）ジョイテック,03-6427-8981,,,,,,なし,,,,"0m, "
100131678632,売地,東京都中野区江古田４丁目,"7,400",102.75,72.1,238.1,専任,公開中,60%,150%,一低,☓,西武新宿線　沼袋,徒歩　12分,一方,西6m,積水ハウス不動産（株）　東京営業所 積水ハウス不動産（株）　東京営業所,03-5350-3369,,,,,,なし,,,,"0m, "
100132179810,売地,東京都中野区白鷺３丁目,"9,000",165.39,54.5,179.9,専任,申込あり,50%,150%,一低,☓,西武新宿線　下井草,徒歩　8分,一方,-,ダイヤ不動産（株） ダイヤ不動産（株）,0339901116,,,,,,なし,,,,"0m, "
100129444811,売地,東京都中野区若宮１丁目,"5,180",70.64,73.4,242.5,売主,-,60%,150%,一低,☓,西武新宿線　野方,徒歩　5分,一方,北4.8m,（株）グローベルス （株）グローベルス,09054335660,,,,,,なし,,,,"0m, "
100132071497,売地,東京都中野区上鷺宮４丁目,"9,880",98.25,100.6,332.5,一般,-,50%,150%,一低,☓,西武池袋線　富士見台,徒歩　5分,一方,南3.9m,住友不動産販売（株）　石神井営業センター 住友不動産販売（株）　石神井営業センター,050-3112-8312,,,,,,なし,,,,"0m, "
100132410447,売地,東京都中野区上鷺宮５丁目,"3,700",65.1,56.9,187.9,専任,公開中,40%,80%,一低,☓,西武新宿線　下井草,徒歩　10分,一方,南4m,住友不動産販売（株）　石神井営業センター 住友不動産販売（株）　石神井営業センター,050-3112-8312,,,,,,なし,,,,"0m, "
100132835288,売地,東京都中野区大和町４丁目,"5,580",62.11,89.9,297,専任,公開中,80%,300%,近商,☓,中央線　高円寺,徒歩　13分,一方,西4m,（株）オープンハウス　売却サポート部 （株）オープンハウス　売却サポート部,0334007749,,,,,,なし,,,,"0m, "
100131784415,売地,東京都中野区弥生町１丁目,"7,980",67.1,119,393.2,専任,公開中,60%,200%,一中,☓,丸ノ内方南　中野新橋,徒歩　9分,一方,南東6.1m,大成有楽不動産販売（株）　新宿センター 大成有楽不動産販売（株）　新宿センター,03-6457-4331,,,,,,なし,,,,"0m, "
100131810064,売地,東京都中野区野方３丁目,"11,500",165.17,69.7,230.2,一般,-,60%,150%,一低,☓,西武新宿線　野方,徒歩　8分,一方,南西5.8m,野村不動産ソリューションズ（株）　中野センター 野村不動産ソリューションズ（株）　中野センター,03-5318-5141,,,,,,なし,,,,"0m, "
100132737975,売地,東京都中野区松が丘１丁目,"4,480",48.66,92.1,304.4,専任,公開中,60%,150%,一低,☓,西武新宿線　新井薬師前,徒歩　5分,角地,北3.9m,三井不動産リアルティ（株）三井のリハウス中野センター 三井不動産リアルティ（株）三井のリハウス中野センター,03-3385-3131,,,,,,なし,,,,"0m, "
100132730744,売地,東京都中野区本町６丁目,"22,900",192.79,118.8,392.7,専属,公開中,60%,160%,一中,☓,丸ノ内線　新中野,徒歩　6分,一方,西3.1m,住友不動産販売（株）　中野営業センター 住友不動産販売（株）　中野営業センター,050-3112-9811,,,,,,なし,,,,"0m, "
100125009278,売地,東京都中野区若宮３丁目,"8,980",197.96,45.4,150,一般,-,60%,150%,一低,☓,西武新宿線　鷺ノ宮,徒歩　7分,一方,北西3.7m,住友不動産販売（株）　阿佐ヶ谷営業センター 住友不動産販売（株）　阿佐ヶ谷営業センター,050-3112-9805,,,,,,なし,,,,"0m, "
100132796497,売地,東京都中野区中野１丁目,"6,180",45.13,137,452.7,売主,-,60%,200%,一中,☓,中央線　中野,徒歩　10分,角地,北西,㈱マイライフプランニング　川口営業所 ㈱マイライフプランニング　川口営業所,048-228-5050,,,,,,なし,,,,"0m, "
100132524993,売地,東京都中野区南台４丁目,"6,490",79,82.2,271.6,売主,-,60%,160%,一中,☓,京王線　笹塚,徒歩　14分,-,-,（株）エスケーホーム （株）エスケーホーム,03-5339-1566,,,,,,なし,,,,"0m, "
100132524988,売地,東京都中野区南台４丁目,"6,490",79,82.2,271.6,売主,-,60%,160%,一中,☓,京王線　笹塚,徒歩　14分,-,-,（株）エスケーホーム （株）エスケーホーム,03-5339-1566,,,,,,なし,,,,"0m, "
100132524985,売地,東京都中野区南台４丁目,"6,190",81,76.5,252.7,売主,-,60%,160%,一中,☓,京王線　笹塚,徒歩　14分,-,-,（株）エスケーホーム （株）エスケーホーム,03-5339-1566,,,,,,なし,,,,"0m, "
100132199086,売地,東京都中野区東中野２丁目,"3,480",51.52,67.6,223.3,専属,公開中,60%,150%,一低,☓,総武中央線　東中野,徒歩　10分,一方,-,相続不動産（株） 相続不動産（株）,080-7364-9542,,,,,,なし,,,,"0m, "
100132776951,売地,東京都中野区中野５丁目,120,4.87,24.7,81.5,一般,-,60%,200%,一中,☓,中央線　中野,徒歩　8分,-,-,ご利益不動産（株） ご利益不動産（株）,09025332555,,,,,,なし,,,,"0m, "
100132768100,借地権,東京都中野区大和町１丁目,"2,550",115.56,22.1,73,専任,公開中,60%,200%,一中,☓,中央線　高円寺,徒歩　11分,二方,北3.3m,（株）親和商事 （株）親和商事,0333301515,,,,,,なし,,,,"0m, "
100130177576,売地,東京都中野区上鷺宮２丁目,"13,800",218.18,63.3,209.1,専任,公開中,50%,80%,一低,☓,西武新宿線　鷺ノ宮,徒歩　11分,角地,東4m,住友不動産販売（株）　阿佐ヶ谷営業センター 住友不動産販売（株）　阿佐ヶ谷営業センター,050-3112-9805,,,,,,なし,,,,"0m, "
100132434098,売地,東京都中野区大和町４丁目,"10,980",132.9,82.7,273.2,一般,-,60%,150%,一低,☓,西武新宿線　都立家政,徒歩　14分,一方,3.4m,三菱地所ハウスネット（株）　荻窪営業所 三菱地所ハウスネット（株）　荻窪営業所,03-6276-9460,,,,,,なし,,,,"0m, "
100131760935,売地,東京都中野区鷺宮６丁目,"6,180",100.03,61.8,204.3,売主,-,50%,150%,一低,☓,西武新宿線　下井草,徒歩　7分,一方,東4.5m,（株）ナミキ （株）ナミキ,03-3939-0061,,,,,,なし,,,,"0m, "
100132033009,売地,東京都中野区大和町２丁目,"5,480",75.89,72.3,238.8,専任,公開中,60%,150%,一低,☓,中央線　高円寺,徒歩　15分,一方,-,（株）大和・アクタス （株）大和・アクタス,03-5364-4800,,,,,,なし,,,,"0m, "
100131840415,売地,東京都中野区上鷺宮４丁目,"9,880",98.34,100.5,332.2,一般,-,50%,150%,一低,☓,西武池袋線　富士見台,徒歩　5分,一方,4m,三菱地所ハウスネット（株）　池袋営業所 三菱地所ハウスネット（株）　池袋営業所,03-3981-3400,,,,,,なし,,,,"0m, "
100132303669,売地,東京都中野区白鷺２丁目,"3,980",70.2,56.7,187.5,一般,-,50%,150%,一低,☓,西武新宿線　鷺ノ宮,徒歩　9分,一方,5.4m,ミサワホーム不動産（株）　本社 ミサワホーム不動産（株）　本社,080-3248-1378,,,,,,なし,,,,"0m, "
100130706534,売地,東京都中野区上鷺宮４丁目,"6,480",136.29,47.6,157.2,専任,公開中,40%,80%,一低,☓,西武池袋線　富士見台,徒歩　8分,一方,北東3.8m,リヴウェル（株） リヴウェル（株）,03-6382-4223,,,,,,なし,,,,"0m, "
100120447684,底地権,東京都中野区上高田１丁目,"1,680",112.46,15,49.4,専属,公開中,70%,150%,一低,☓,中央線　中野,徒歩　13分,角地,北2.7m,住友不動産販売（株）　中野営業センター 住友不動産販売（株）　中野営業センター,050-3112-9811,,,,,,なし,,,,"0m, "
100131413458,売地,東京都中野区松が丘２丁目,"2,980",79,37.8,124.7,売主,-,80%,300%,近商,☓,西武新宿線　沼袋,徒歩　14分,一方,-,㈱ライトアップ ㈱ライトアップ,048-840-2311,,,,,,なし,,,,"0m, "
300131010793,売地,東京都中野区上高田４丁目,"2,380",41.09,58,191.5,専属,公開中,60%,200%,一中,☓,大江戸線　中井,徒歩　8分,一方,西6m,ＢｉｔＨｏｍｅ（株） ＢｉｔＨｏｍｅ（株）,06-6616-9698,,,,,,なし,,,,"0m, "
100131608279,売地,東京都中野区本町６丁目,"8,980",89.32,100.6,332.4,専任,公開中,60%,200%,一中,○,丸ノ内線　新中野,徒歩　7分,一方,東3.9m,みずほ不動産販売（株）　池袋営業部 みずほ不動産販売（株）　池袋営業部,03-3590-1001,間口 8m以上,建ぺい率：60%、容積率：200%,建築条件なし,建築条件なし,住宅用地,なし,未記載,"まいばすけっと中野本町4丁目店(315m, 徒歩約4分)、ファミリーマート中野中央五丁目店(260m, 徒歩約4分)、東京警察病院(400m, 徒歩約6分)、明和立高等学校・附属中学校(745m, 徒歩約10分)","新中野駅(0m, 徒歩約7分)、東高円寺駅(0m, 徒歩約9分)","0m, 未記載"
100131754034,売地,東京都中野区松が丘１丁目,"19,180",210.83,91,300.8,代理,-,80%,300%,近商,☓,西武新宿線　新井薬師前,徒歩　2分,-,南西5m,（株）伯建 （株）伯建,03-5343-3355,図面参照,20m高度地区、第三種高度地区、準防火地域,所有権移転登記費用買主負担,引渡条件：現況有姿,共同住宅,なし,2023-10-03,,"新宿駅(1100m, 徒歩14分)","400m, 徒歩5分"
100132020189,売地,東京都中野区大和町２丁目,"30,000",327.38,91.7,303,専属,公開中,60%,150%,一低,○,中央線　高円寺,徒歩　15分,一方,東5.5m,東急リバブル（株）　高円寺センター 東急リバブル（株）　高円寺センター,03-6859-9109,ほぼ正方形,景観法,建築条件はありません,建築条件ありません,住宅用地,なし,2024年1月1日,"やばせ内科クリニック(100m, 徒歩3分)、トップパルケ(240m, 徒歩3分)、コモディイイダ(300m, 徒歩4分)、ニトリドン・キホーテ(530m, 徒歩7分)、杉山公園(670m, 徒歩9分)、区立松が丘小学校(750m, 徒歩10分)","JR中央線「高円寺」(1200m, 徒歩15分)、西武新宿線「野方」(880m, 徒歩11分)","670m, 徒歩9分"
100131059810,売地,東京都中野区野方４丁目,"19,240",247.81,77.7,256.7,専属,公開中,60%,150%,一低,○,西武新宿線　野方,徒歩　4分,一方,西3.9m,住友不動産販売（株）　中野営業センター 住友不動産販売（株）　中野営業センター,050-3112-9811,不整形,準防火地域,現況渡し,建築条件なし,住宅用地,なし,2023-09-27,"中野区立野方第一小学校(150m, 徒歩約2分)、ファミリーマート野方店(350m, 徒歩約5分)、サガン野方(400m, 徒歩約6分)、中野山形屋病院(380m, 徒歩約5分)","野方駅(320m, 徒歩約4分)","300m, 徒歩約4分"
100132423769,売地,東京都中野区上高田１丁目,"13,150",161.04,81.7,270,専任,公開中,60%,150%,一低,☓,中央線　中野,徒歩　14分,一方,南4m,三菱地所ハウスネット（株）　荻窪営業所 三菱地所ハウスネット（株）　荻窪営業所,03-6276-9460,南側の整形地,建ぺい率60％・容積率150％,更地渡し,契約不適合責任免責,一世帯住宅,あり,2023年5月25日,"ローソンストア100 中野5丁目店(160m, 約2分)、コモディイイダ 中野店(160m, 約2分)、まいばすけっと 中野弥生町店(480m, 約6分)、業務スーパー 石黒中野弥生店(590m, 約8分)、中野BROADWAY(890m, 約11分)、スギ薬局 中野北店(460m, 約6分)、吉野家 中野店(160m, 約2分)","中野駅(14m, 徒歩14分)、東中野駅(13m, 徒歩13分)、新井薬師前駅(12m, 徒歩12分)","160m, 徒歩2分"
100129998714,売地,東京都中野区中央４丁目,"7,380",72.81,101.4,335.1,専任,申込あり,60%,200%,一中,☓,丸ノ内線　新中野,徒歩　6分,一方,西2.7m,三井不動産リアルティ（株）三井のリハウス高田馬場センター 三井不動産リアルティ（株）三井のリハウス高田馬場センター,03-3204-3131,,,,,,なし,,,,"0m, "
100132637241,売地,東京都中野区東中野２丁目,"22,000",455.2,48.4,159.8,専任,公開中,60%,150%,一低,☓,総武中央線　東中野,徒歩　7分,一方,南3.3m,（株）シティクルーズ （株）シティクルーズ,03-6380-3637,,,,,,なし,,,,"0m, "
100131491501,売地,東京都中野区若宮１丁目,"4,980",60.35,82.6,272.8,専任,公開中,60%,150%,一低,☓,西武新宿線　野方,徒歩　5分,一方,東3.8m,東急リバブル（株）　高円寺センター 東急リバブル（株）　高円寺センター,03-6859-9109,,,,,,なし,,,,"0m, "
100132596582,売地,東京都中野区東中野１丁目,"3,280",45.22,72.6,239.8,専任,公開中,60%,160%,一中,☓,総武中央線　東中野,徒歩　5分,一方,西2.1m,フジミ不動産販売（株） フジミ不動産販売（株）,03-5364-9160,,,,,,なし,,,,"0m, "
100132592608,売地,東京都中野区鷺宮６丁目,"5,980",88.3,67.8,223.9,一般,-,50%,150%,一低,☓,西武新宿線　下井草,徒歩　6分,-,-,（株）Ｅｎｔｅｒ　Ｐｌａｎ （株）Ｅｎｔｅｒ　Ｐｌａｎ,03-5906-5641,,,,,,なし,,,,"0m, "
100132499092,売地,東京都中野区大和町４丁目,"10,980",132.9,82.7,273.2,一般,-,60%,150%,一低,☓,西武新宿線　都立家政,徒歩　14分,-,南西3.5m,三井住友トラスト不動産（株）　高円寺センター 三井住友トラスト不動産（株）　高円寺センター,03-3330-6082,,,,,,なし,,,,"0m, "
100132298358,売地,東京都中野区大和町４丁目,"10,980",132.9,82.7,273.2,一般,-,60%,150%,一低,☓,西武新宿線　都立家政,徒歩　14分,一方,南3.5m,東急リバブル（株）　高円寺センター 東急リバブル（株）　高円寺センター,03-6859-9109,,,,,,なし,,,,"0m, "
100131915239,売地,東京都中野区上鷺宮４丁目,"9,880",98.34,100.5,332.2,一般,-,40%,80%,一低,☓,西武池袋線　富士見台,徒歩　5分,一方,南東4m,東急リバブル（株）　練馬センター 東急リバブル（株）　練馬センター,03-5912-9811,,,,,,なし,,,,"0m, "
100130739730,売地,東京都中野区東中野３丁目,"19,800",178.65,110.9,366.4,専任,公開中,60%,150%,一低,☓,総武中央線　東中野,徒歩　4分,一方,北西3.2m,東急リバブル（株）　中野センター 東急リバブル（株）　中野センター,03-5345-1090,,,,,,なし,,,,"0m, "
100128665127,売地,東京都中野区鷺宮４丁目,"8,980",105.16,85.4,282.3,専属,公開中,80%,300%,近商,☓,西武新宿線　鷺ノ宮,徒歩　3分,一方,東10m,東急リバブル（株）　高円寺センター 東急リバブル（株）　高円寺センター,03-6859-9109,,,,,,なし,,,,"0m, "
100132107650,売地,東京都中野区若宮１丁目,"14,770",180.87,81.7,270,一般,-,60%,160%,一低,☓,西武新宿線　都立家政,徒歩　6分,一方,東4m,東急リバブル（株）　高円寺センター 東急リバブル（株）　高円寺センター,03-6859-9109,,,,,,なし,,,,"0m, "
100132554635,売地,東京都中野区南台３丁目,"6,280",62.12,101.1,334.2,一般,-,60%,160%,一中,☓,丸ノ内方南　方南町,徒歩　10分,一方,南東3.6m,エルフォルク不動産（株） エルフォルク不動産（株）,090-6793-5283,,,,,,なし,,,,"0m, "
100131750052,売地,東京都中野区南台３丁目,"6,180",61.04,101.3,334.7,一般,-,60%,160%,一中,☓,丸ノ内方南　方南町,徒歩　10分,一方,南東3.6m,エルフォルク不動産（株） エルフォルク不動産（株）,090-6793-5283,,,,,,なし,,,,"0m, "
100132546702,売地,東京都中野区白鷺３丁目,"4,980",163.41,30.5,100.8,専属,公開中,50%,150%,一低,☓,西武新宿線　下井草,徒歩　8分,一方,-,（株）無限学舎 （株）無限学舎,09035211030,,,,,,なし,,,,"0m, "
100130957782,売地,東京都中野区江原町２丁目,"23,000",250.46,91.9,303.6,専任,公開中,60%,150%,一低,☓,大江戸線　新江古田,徒歩　7分,二方,東7.8m,住友不動産販売（株）　八重洲営業センター 住友不動産販売（株）　八重洲営業センター,050-3112-9832,,,,,,なし,,,,"0m, "
100132526940,売地,東京都中野区南台４丁目,"16,000",177.73,90.1,297.7,売主,-,60%,160%,一中,☓,丸ノ内方南　方南町,徒歩　12分,一方,南西3.7m,平住建（株） 平住建（株）,03-5876-8918,,,,,,なし,,,,"0m, "
100131757051,売地,東京都中野区中央２丁目,"9,300",95.31,97.6,322.6,一般,-,60%,160%,一中,☓,丸ノ内線　中野坂上,徒歩　8分,角地,南西4m,住友不動産販売（株）　本社第２営業センター 住友不動産販売（株）　本社第２営業センター,050-3112-9915,,,,,,なし,,,,"0m, "
100130950606,売地,東京都中野区弥生町５丁目,"3,600",38.52,93.5,309,専任,公開中,60%,150%,一低,☓,丸ノ内方南　中野富士見町,徒歩　10分,-,-,（株）大秀不動産 （株）大秀不動産,03-5350-1641,,,,,,なし,,,,"0m, "
100131998625,売地,東京都中野区沼袋４丁目,"7,000",109.61,63.9,211.2,専任,公開中,80%,300%,近商,☓,西武新宿線　沼袋,徒歩　6分,一方,南4m,明治住建（株）　川越店 明治住建（株）　川越店,049-298-6582,,,,,,なし,,,,"0m, "
100132452875,売地,東京都中野区中央４丁目,"4,280",43.32,98.8,326.7,売主,-,60%,200%,一中,☓,中央線　中野,徒歩　7分,一方,東4.1m,五大アセットパートナーズ（株） 五大アセットパートナーズ（株）,03-5843-0147,,,,,,なし,,,,"0m, "
100132032883,売地,東京都中野区若宮１丁目,"14,770",181.3,81.5,269.4,一般,-,60%,150%,一低,☓,西武新宿線　都立家政,徒歩　5分,一方,東4m,（株）西家 （株）西家,03-6450-2408,,,,,,なし,,,,"0m, "
100132111383,売地,東京都中野区上鷺宮４丁目,"9,880",98.34,100.5,332.2,一般,-,50%,150%,一低,☓,西武池袋線　富士見台,徒歩　5分,一方,南4m,野村不動産ソリューションズ（株）　練馬センター 野村不動産ソリューションズ（株）　練馬センター,03-5946-3211,,,,,,なし,,,,"0m, "
100132274155,売地,東京都中野区大和町４丁目,"10,980",132.9,82.7,273.2,一般,-,60%,150%,一低,☓,西武新宿線　都立家政,徒歩　14分,一方,南西3.4m,三井不動産リアルティ（株）三井のリハウス高円寺センター 三井不動産リアルティ（株）三井のリハウス高円寺センター,03-3315-3131,,,,,,なし,,,,"0m, "
100131325234,売地,東京都中野区野方４丁目,"3,980",56.06,71,234.7,専任,公開中,60%,150%,一低,☓,西武新宿線　野方,徒歩　8分,一方,南2.6m,三井不動産リアルティ（株）三井のリハウス中野センター 三井不動産リアルティ（株）三井のリハウス中野センター,03-3385-3131,,,,,,なし,,,,"0m, "
100131325246,売地,東京都中野区上鷺宮２丁目,"8,980",174.8,51.4,169.9,専任,公開中,40%,80%,一低,☓,西武新宿線　鷺ノ宮,徒歩　10分,一方,南4m,三井不動産リアルティ（株）三井のリハウス田無センター 三井不動産リアルティ（株）三井のリハウス田無センター,042-467-3131,,,,,,なし,,,,"0m, "
100132227075,売地,東京都中野区野方１丁目,"5,980",59.33,100.8,333.2,専属,公開中,80%,240%,近商,☓,中央線　高円寺,徒歩　13分,一方,北西2.6m,住友不動産販売（株）　中野営業センター 住友不動産販売（株）　中野営業センター,050-3112-9811,,,,,,なし,,,,"0m, "
100131632337,売地,東京都中野区中央２丁目,"9,300",95.31,97.6,322.6,一般,-,null%,null%,-,☓,丸ノ内線　中野坂上,徒歩　8分,角地,-,昭和建物（株） 昭和建物（株）,03-5370-3131,,,,,,なし,,,,"0m, "
100118733903,売地,東京都中野区白鷺２丁目,"4,580",92.78,49.4,163.2,専任,公開中,50%,150%,一低,☓,西武新宿線　鷺ノ宮,徒歩　8分,一方,西3.7m,大成有楽不動産販売（株）　荻窪センター 大成有楽不動産販売（株）　荻窪センター,03-5347-0911,,,,,,なし,,,,"0m, "
